2026-06-14 15:36:58 | INFO     | Run ID : 20260614_153658
2026-06-14 15:36:58 | INFO     | Device : cpu
2026-06-14 15:36:58 | INFO     | Train samples: 8981 | Val samples: 807
2026-06-14 15:36:58 | INFO     | Model parameters: 54,722
2026-06-14 15:37:01 | INFO     | Starting training for up to 400 epochs
2026-06-14 15:37:01 | INFO     | --------------------------------------------------------------------------------
2026-06-14 15:37:03 | INFO     | Epoch   1/400 | train_loss=0.3959 | val_loss=0.2838 | val_mae=0.270cm | val_mape=inf% | val_f1=0.934  [best]
2026-06-14 15:37:05 | INFO     | Epoch   2/400 | train_loss=0.2917 | val_loss=0.2124 | val_mae=0.104cm | val_mape=inf% | val_f1=0.938  [best]
2026-06-14 15:37:08 | INFO     | Epoch   3/400 | train_loss=0.2344 | val_loss=0.1755 | val_mae=0.152cm | val_mape=inf% | val_f1=0.933  [best]
2026-06-14 15:37:11 | INFO     | Epoch   4/400 | train_loss=0.2263 | val_loss=0.1513 | val_mae=0.060cm | val_mape=inf% | val_f1=0.936  [best]
2026-06-14 15:37:13 | INFO     | Epoch   5/400 | train_loss=0.1981 | val_loss=0.1683 | val_mae=0.258cm | val_mape=inf% | val_f1=0.928
2026-06-14 15:37:15 | INFO     | Epoch   6/400 | train_loss=0.1945 | val_loss=0.1576 | val_mae=0.151cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:37:18 | INFO     | Epoch   7/400 | train_loss=0.1782 | val_loss=0.1813 | val_mae=0.058cm | val_mape=inf% | val_f1=0.924
2026-06-14 15:37:20 | INFO     | Epoch   8/400 | train_loss=0.1565 | val_loss=0.2492 | val_mae=0.073cm | val_mape=inf% | val_f1=0.907
2026-06-14 15:37:22 | INFO     | Epoch   9/400 | train_loss=0.1687 | val_loss=0.1607 | val_mae=0.097cm | val_mape=inf% | val_f1=0.931
2026-06-14 15:37:25 | INFO     | Epoch  10/400 | train_loss=0.1578 | val_loss=0.2310 | val_mae=0.033cm | val_mape=inf% | val_f1=0.904
2026-06-14 15:37:27 | INFO     | Epoch  11/400 | train_loss=0.1607 | val_loss=0.1969 | val_mae=0.282cm | val_mape=inf% | val_f1=0.917
2026-06-14 15:37:29 | INFO     | Epoch  12/400 | train_loss=0.1628 | val_loss=0.1837 | val_mae=0.177cm | val_mape=inf% | val_f1=0.933
2026-06-14 15:37:32 | INFO     | Epoch  13/400 | train_loss=0.1351 | val_loss=0.2094 | val_mae=0.069cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:37:35 | INFO     | Epoch  14/400 | train_loss=0.1461 | val_loss=0.1903 | val_mae=0.159cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:37:39 | INFO     | Epoch  15/400 | train_loss=0.1337 | val_loss=0.1646 | val_mae=0.114cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:37:41 | INFO     | Epoch  16/400 | train_loss=0.1507 | val_loss=0.1912 | val_mae=0.048cm | val_mape=inf% | val_f1=0.929
2026-06-14 15:37:43 | INFO     | Epoch  17/400 | train_loss=0.1387 | val_loss=0.2632 | val_mae=0.073cm | val_mape=inf% | val_f1=0.897
2026-06-14 15:37:45 | INFO     | Epoch  18/400 | train_loss=0.1302 | val_loss=0.1844 | val_mae=0.066cm | val_mape=inf% | val_f1=0.931
2026-06-14 15:37:48 | INFO     | Epoch  19/400 | train_loss=0.1186 | val_loss=0.2392 | val_mae=0.057cm | val_mape=inf% | val_f1=0.916
2026-06-14 15:37:50 | INFO     | Epoch  20/400 | train_loss=0.1220 | val_loss=0.2237 | val_mae=0.048cm | val_mape=inf% | val_f1=0.928
2026-06-14 15:37:52 | INFO     | Epoch  21/400 | train_loss=0.1194 | val_loss=0.1799 | val_mae=0.263cm | val_mape=inf% | val_f1=0.928
2026-06-14 15:37:54 | INFO     | Epoch  22/400 | train_loss=0.1119 | val_loss=0.2100 | val_mae=0.108cm | val_mape=inf% | val_f1=0.932
2026-06-14 15:37:57 | INFO     | Epoch  23/400 | train_loss=0.1215 | val_loss=0.1968 | val_mae=0.199cm | val_mape=inf% | val_f1=0.917
2026-06-14 15:37:59 | INFO     | Epoch  24/400 | train_loss=0.1175 | val_loss=0.2039 | val_mae=0.391cm | val_mape=inf% | val_f1=0.920
2026-06-14 15:38:01 | INFO     | Epoch  25/400 | train_loss=0.1173 | val_loss=0.1960 | val_mae=0.314cm | val_mape=inf% | val_f1=0.920
2026-06-14 15:38:03 | INFO     | Epoch  26/400 | train_loss=0.0912 | val_loss=0.2503 | val_mae=0.359cm | val_mape=inf% | val_f1=0.920
2026-06-14 15:38:06 | INFO     | Epoch  27/400 | train_loss=0.0878 | val_loss=0.2325 | val_mae=0.280cm | val_mape=inf% | val_f1=0.926
2026-06-14 15:38:08 | INFO     | Epoch  28/400 | train_loss=0.0900 | val_loss=0.3356 | val_mae=0.340cm | val_mape=inf% | val_f1=0.908
2026-06-14 15:38:10 | INFO     | Epoch  29/400 | train_loss=0.0875 | val_loss=0.2706 | val_mae=0.287cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:38:13 | INFO     | Epoch  30/400 | train_loss=0.0937 | val_loss=0.2667 | val_mae=0.326cm | val_mape=inf% | val_f1=0.917
2026-06-14 15:38:15 | INFO     | Epoch  31/400 | train_loss=0.0842 | val_loss=0.2750 | val_mae=0.267cm | val_mape=inf% | val_f1=0.919
2026-06-14 15:38:17 | INFO     | Epoch  32/400 | train_loss=0.0839 | val_loss=0.2628 | val_mae=0.191cm | val_mape=inf% | val_f1=0.926
2026-06-14 15:38:19 | INFO     | Epoch  33/400 | train_loss=0.0844 | val_loss=0.3116 | val_mae=0.176cm | val_mape=inf% | val_f1=0.917
2026-06-14 15:38:21 | INFO     | Epoch  34/400 | train_loss=0.0845 | val_loss=0.3053 | val_mae=0.157cm | val_mape=inf% | val_f1=0.923
2026-06-14 15:38:23 | INFO     | Epoch  35/400 | train_loss=0.0870 | val_loss=0.2756 | val_mae=0.132cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:38:26 | INFO     | Epoch  36/400 | train_loss=0.0905 | val_loss=0.3087 | val_mae=0.190cm | val_mape=inf% | val_f1=0.920
2026-06-14 15:38:28 | INFO     | Epoch  37/400 | train_loss=0.0747 | val_loss=0.3839 | val_mae=0.255cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:38:30 | INFO     | Epoch  38/400 | train_loss=0.0742 | val_loss=0.3329 | val_mae=0.217cm | val_mape=inf% | val_f1=0.917
2026-06-14 15:38:32 | INFO     | Epoch  39/400 | train_loss=0.0760 | val_loss=0.3434 | val_mae=0.229cm | val_mape=inf% | val_f1=0.916
2026-06-14 15:38:34 | INFO     | Epoch  40/400 | train_loss=0.0875 | val_loss=0.3095 | val_mae=0.160cm | val_mape=inf% | val_f1=0.916
2026-06-14 15:38:37 | INFO     | Epoch  41/400 | train_loss=0.0811 | val_loss=0.3453 | val_mae=0.231cm | val_mape=inf% | val_f1=0.912
2026-06-14 15:38:39 | INFO     | Epoch  42/400 | train_loss=0.0731 | val_loss=0.3586 | val_mae=0.248cm | val_mape=inf% | val_f1=0.903
2026-06-14 15:38:41 | INFO     | Epoch  43/400 | train_loss=0.0722 | val_loss=0.3008 | val_mae=0.215cm | val_mape=inf% | val_f1=0.922
2026-06-14 15:38:43 | INFO     | Epoch  44/400 | train_loss=0.0691 | val_loss=0.3426 | val_mae=0.226cm | val_mape=inf% | val_f1=0.921
2026-06-14 15:38:45 | INFO     | Epoch  45/400 | train_loss=0.0717 | val_loss=0.4602 | val_mae=0.278cm | val_mape=inf% | val_f1=0.898
2026-06-14 15:38:47 | INFO     | Epoch  46/400 | train_loss=0.0671 | val_loss=0.4255 | val_mae=0.347cm | val_mape=inf% | val_f1=0.915
2026-06-14 15:38:49 | INFO     | Epoch  47/400 | train_loss=0.0559 | val_loss=0.4233 | val_mae=0.316cm | val_mape=inf% | val_f1=0.915
2026-06-14 15:38:50 | INFO     | Epoch  48/400 | train_loss=0.0514 | val_loss=0.4080 | val_mae=0.247cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:38:52 | INFO     | Epoch  49/400 | train_loss=0.0563 | val_loss=0.4578 | val_mae=0.253cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:38:54 | INFO     | Epoch  50/400 | train_loss=0.0432 | val_loss=0.4551 | val_mae=0.253cm | val_mape=inf% | val_f1=0.912
2026-06-14 15:38:55 | INFO     | Epoch  51/400 | train_loss=0.0444 | val_loss=0.4917 | val_mae=0.231cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:38:57 | INFO     | Epoch  52/400 | train_loss=0.0610 | val_loss=0.4501 | val_mae=0.277cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:38:59 | INFO     | Epoch  53/400 | train_loss=0.0564 | val_loss=0.4913 | val_mae=0.296cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:39:01 | INFO     | Epoch  54/400 | train_loss=0.0435 | val_loss=0.5137 | val_mae=0.271cm | val_mape=inf% | val_f1=0.909
2026-06-14 15:39:02 | INFO     | Epoch  55/400 | train_loss=0.0424 | val_loss=0.4865 | val_mae=0.254cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:39:04 | INFO     | Epoch  56/400 | train_loss=0.0555 | val_loss=0.5981 | val_mae=0.283cm | val_mape=inf% | val_f1=0.898
2026-06-14 15:39:06 | INFO     | Epoch  57/400 | train_loss=0.0506 | val_loss=0.4770 | val_mae=0.248cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:39:08 | INFO     | Epoch  58/400 | train_loss=0.0407 | val_loss=0.5288 | val_mae=0.215cm | val_mape=inf% | val_f1=0.910
2026-06-14 15:39:10 | INFO     | Epoch  59/400 | train_loss=0.0478 | val_loss=0.6095 | val_mae=0.226cm | val_mape=inf% | val_f1=0.903
2026-06-14 15:39:12 | INFO     | Epoch  60/400 | train_loss=0.0368 | val_loss=0.5628 | val_mae=0.187cm | val_mape=inf% | val_f1=0.915
