2026-06-14 15:36:58 | INFO     | Run ID  : 20260614_153658
2026-06-14 15:36:58 | INFO     | Device  : cpu
2026-06-14 15:36:58 | INFO     | Target  : weight (g)
2026-06-14 15:36:58 | INFO     | Train samples: 497 | Val samples: 269
2026-06-14 15:36:58 | INFO     | Model parameters: 54,722
2026-06-14 15:37:01 | INFO     | Starting training for up to 600 epochs
2026-06-14 15:37:01 | INFO     | --------------------------------------------------------------------------------
2026-06-14 15:37:01 | INFO     | Epoch   1/600 | train_loss=20367.2809 | val_loss=23109.1766 | val_mae=483.02g | val_mape=99.81% | val_f1=1.000  [best]
2026-06-14 15:37:01 | INFO     | Epoch   2/600 | train_loss=20242.1278 | val_loss=22998.4952 | val_mae=480.82g | val_mape=99.22% | val_f1=1.000  [best]
2026-06-14 15:37:01 | INFO     | Epoch   3/600 | train_loss=20286.3552 | val_loss=22837.4724 | val_mae=477.59g | val_mape=98.33% | val_f1=1.000  [best]
2026-06-14 15:37:02 | INFO     | Epoch   4/600 | train_loss=19923.6591 | val_loss=22661.3448 | val_mae=474.06g | val_mape=97.40% | val_f1=1.000  [best]
2026-06-14 15:37:02 | INFO     | Epoch   5/600 | train_loss=19779.5806 | val_loss=22470.4073 | val_mae=470.24g | val_mape=96.40% | val_f1=1.000  [best]
2026-06-14 15:37:02 | INFO     | Epoch   6/600 | train_loss=19686.9664 | val_loss=22261.8379 | val_mae=466.07g | val_mape=95.31% | val_f1=1.000  [best]
2026-06-14 15:37:02 | INFO     | Epoch   7/600 | train_loss=19568.3662 | val_loss=22012.9230 | val_mae=461.08g | val_mape=93.94% | val_f1=1.000  [best]
2026-06-14 15:37:02 | INFO     | Epoch   8/600 | train_loss=19181.6373 | val_loss=21723.8644 | val_mae=455.29g | val_mape=92.39% | val_f1=1.000  [best]
2026-06-14 15:37:02 | INFO     | Epoch   9/600 | train_loss=18886.1671 | val_loss=21414.6730 | val_mae=449.11g | val_mape=90.71% | val_f1=1.000  [best]
2026-06-14 15:37:02 | INFO     | Epoch  10/600 | train_loss=18408.4600 | val_loss=21048.8737 | val_mae=441.79g | val_mape=88.68% | val_f1=1.000  [best]
2026-06-14 15:37:03 | INFO     | Epoch  11/600 | train_loss=18122.5421 | val_loss=20679.4590 | val_mae=434.40g | val_mape=86.71% | val_f1=1.000  [best]
2026-06-14 15:37:03 | INFO     | Epoch  12/600 | train_loss=17917.4520 | val_loss=20175.7418 | val_mae=424.30g | val_mape=83.77% | val_f1=1.000  [best]
2026-06-14 15:37:03 | INFO     | Epoch  13/600 | train_loss=17278.5064 | val_loss=19743.3214 | val_mae=415.67g | val_mape=81.56% | val_f1=1.000  [best]
2026-06-14 15:37:03 | INFO     | Epoch  14/600 | train_loss=16795.1329 | val_loss=19159.4488 | val_mae=403.97g | val_mape=78.26% | val_f1=1.000  [best]
2026-06-14 15:37:03 | INFO     | Epoch  15/600 | train_loss=16179.0230 | val_loss=18602.8570 | val_mae=392.84g | val_mape=75.33% | val_f1=1.000  [best]
2026-06-14 15:37:03 | INFO     | Epoch  16/600 | train_loss=15727.6026 | val_loss=17996.6209 | val_mae=380.60g | val_mape=72.04% | val_f1=1.000  [best]
2026-06-14 15:37:03 | INFO     | Epoch  17/600 | train_loss=15026.5109 | val_loss=17382.0985 | val_mae=368.12g | val_mape=68.99% | val_f1=1.000  [best]
2026-06-14 15:37:04 | INFO     | Epoch  18/600 | train_loss=14381.2842 | val_loss=16543.4528 | val_mae=350.46g | val_mape=64.48% | val_f1=1.000  [best]
2026-06-14 15:37:04 | INFO     | Epoch  19/600 | train_loss=13499.7173 | val_loss=15754.5002 | val_mae=333.83g | val_mape=60.55% | val_f1=1.000  [best]
2026-06-14 15:37:04 | INFO     | Epoch  20/600 | train_loss=12754.7833 | val_loss=14901.7409 | val_mae=316.31g | val_mape=56.72% | val_f1=1.000  [best]
2026-06-14 15:37:04 | INFO     | Epoch  21/600 | train_loss=11927.1022 | val_loss=13899.2006 | val_mae=297.14g | val_mape=53.52% | val_f1=1.000  [best]
2026-06-14 15:37:04 | INFO     | Epoch  22/600 | train_loss=11118.5431 | val_loss=13520.0521 | val_mae=289.56g | val_mape=52.09% | val_f1=1.000  [best]
2026-06-14 15:37:04 | INFO     | Epoch  23/600 | train_loss=10168.4486 | val_loss=12372.5851 | val_mae=267.17g | val_mape=48.28% | val_f1=1.000  [best]
2026-06-14 15:37:04 | INFO     | Epoch  24/600 | train_loss=9060.5172 | val_loss=11934.8494 | val_mae=258.11g | val_mape=46.56% | val_f1=1.000  [best]
2026-06-14 15:37:05 | INFO     | Epoch  25/600 | train_loss=8182.6628 | val_loss=11330.3127 | val_mae=246.19g | val_mape=44.49% | val_f1=1.000  [best]
2026-06-14 15:37:05 | INFO     | Epoch  26/600 | train_loss=7249.6207 | val_loss=10627.4519 | val_mae=232.15g | val_mape=42.15% | val_f1=1.000  [best]
2026-06-14 15:37:05 | INFO     | Epoch  27/600 | train_loss=6017.1363 | val_loss=9624.2997 | val_mae=212.30g | val_mape=39.21% | val_f1=1.000  [best]
2026-06-14 15:37:05 | INFO     | Epoch  28/600 | train_loss=5196.6224 | val_loss=8306.1123 | val_mae=187.70g | val_mape=38.54% | val_f1=1.000  [best]
2026-06-14 15:37:05 | INFO     | Epoch  29/600 | train_loss=4480.8016 | val_loss=8227.1421 | val_mae=184.59g | val_mape=35.02% | val_f1=1.000  [best]
2026-06-14 15:37:05 | INFO     | Epoch  30/600 | train_loss=3995.2117 | val_loss=6062.2692 | val_mae=142.86g | val_mape=30.00% | val_f1=1.000  [best]
2026-06-14 15:37:05 | INFO     | Epoch  31/600 | train_loss=3707.0163 | val_loss=8128.9978 | val_mae=182.81g | val_mape=34.89% | val_f1=1.000
2026-06-14 15:37:06 | INFO     | Epoch  32/600 | train_loss=3115.7488 | val_loss=5894.3831 | val_mae=138.57g | val_mape=28.24% | val_f1=1.000  [best]
2026-06-14 15:37:06 | INFO     | Epoch  33/600 | train_loss=2751.8358 | val_loss=6326.7031 | val_mae=147.59g | val_mape=30.24% | val_f1=1.000
