2026-04-30 20:51:06 | INFO     | Run ID : 20260430_205106
2026-04-30 20:51:06 | INFO     | Device : cuda
2026-04-30 20:51:06 | INFO     | Train samples: 630 | Val samples: 180
2026-04-30 20:51:06 | INFO     | Model parameters: 54,722
2026-04-30 20:51:08 | INFO     | Starting training for up to 600 epochs
2026-04-30 20:51:08 | INFO     | --------------------------------------------------------------------------------
2026-04-30 20:51:09 | INFO     | Epoch   1/600 | train_loss=47428.4559 | val_loss=47310.2116 | val_mae=973.659cm | val_mape=99.84% | val_f1=0.506  [best]
2026-04-30 20:51:09 | INFO     | Epoch   2/600 | train_loss=47347.1928 | val_loss=47150.4023 | val_mae=970.473cm | val_mape=99.41% | val_f1=0.714  [best]
2026-04-30 20:51:09 | INFO     | Epoch   3/600 | train_loss=47295.2566 | val_loss=46952.7975 | val_mae=966.546cm | val_mape=98.89% | val_f1=0.812  [best]
2026-04-30 20:51:09 | INFO     | Epoch   4/600 | train_loss=46894.0633 | val_loss=46694.9831 | val_mae=961.391cm | val_mape=98.22% | val_f1=0.974  [best]
2026-04-30 20:51:09 | INFO     | Epoch   5/600 | train_loss=46720.6004 | val_loss=46360.9857 | val_mae=954.764cm | val_mape=97.36% | val_f1=1.000  [best]
2026-04-30 20:51:10 | INFO     | Epoch   6/600 | train_loss=46312.6055 | val_loss=46002.5495 | val_mae=947.609cm | val_mape=96.43% | val_f1=1.000  [best]
2026-04-30 20:51:10 | INFO     | Epoch   7/600 | train_loss=45922.7971 | val_loss=45545.0326 | val_mae=938.451cm | val_mape=95.25% | val_f1=1.000  [best]
2026-04-30 20:51:10 | INFO     | Epoch   8/600 | train_loss=45678.0725 | val_loss=45042.0892 | val_mae=928.395cm | val_mape=93.96% | val_f1=1.000  [best]
2026-04-30 20:51:10 | INFO     | Epoch   9/600 | train_loss=44908.8387 | val_loss=44428.9928 | val_mae=916.173cm | val_mape=92.38% | val_f1=1.000  [best]
2026-04-30 20:51:10 | INFO     | Epoch  10/600 | train_loss=44330.2344 | val_loss=43748.3900 | val_mae=902.536cm | val_mape=90.63% | val_f1=1.000  [best]
2026-04-30 20:51:10 | INFO     | Epoch  11/600 | train_loss=43516.4238 | val_loss=43082.5794 | val_mae=889.107cm | val_mape=88.86% | val_f1=1.000  [best]
2026-04-30 20:51:11 | INFO     | Epoch  12/600 | train_loss=42774.4564 | val_loss=42393.0664 | val_mae=875.341cm | val_mape=87.09% | val_f1=1.000  [best]
2026-04-30 20:51:11 | INFO     | Epoch  13/600 | train_loss=41980.5016 | val_loss=41401.6380 | val_mae=855.556cm | val_mape=84.53% | val_f1=1.000  [best]
2026-04-30 20:51:11 | INFO     | Epoch  14/600 | train_loss=41303.8420 | val_loss=40461.0781 | val_mae=836.680cm | val_mape=82.11% | val_f1=1.000  [best]
2026-04-30 20:51:11 | INFO     | Epoch  15/600 | train_loss=39930.7696 | val_loss=39616.4251 | val_mae=819.784cm | val_mape=79.81% | val_f1=1.000  [best]
