recording_file,sample_mid,is_positive,gt_length_cm,pred_length_cm,gt_weight_g,pred_weight_g,presence_prob,pred_present
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,2629,1,30.0,30.46,580.0,595.2,0.9773,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,9007,1,21.0,20.97,150.0,150.4,0.9374,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,9180,1,31.0,30.38,620.0,602.5,0.9731,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,3640,1,23.0,22.54,310.0,299.2,0.9473,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,1837,0,0.0,24.12,0.0,281.2,0.7861,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,2154,1,31.0,30.72,630.0,721.5,0.9833,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2506,1,21.0,21.1,150.0,142.8,0.9286,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7845,0,0.0,21.05,0.0,161.5,0.6414,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,2731,1,30.0,32.01,500.0,529.5,0.8759,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,7501,1,31.0,31.01,630.0,643.3,0.983,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5946,0,0.0,29.43,0.0,469.2,0.5268,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6969,1,30.0,27.65,580.0,500.7,0.9754,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,238,1,30.0,30.85,556.0,571.8,0.9507,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3888,0,0.0,33.38,0.0,698.7,0.9557,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6834,0,0.0,29.65,0.0,508.9,0.9715,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,492,0,0.0,34.43,0.0,784.2,0.9574,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,4051,1,33.0,32.53,680.0,669.5,0.9904,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,829,1,26.0,25.5,390.0,402.9,0.9736,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,8090,1,31.0,29.84,620.0,501.9,0.9414,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,7325,1,33.0,31.17,680.0,672.8,0.9854,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,9845,1,30.0,28.64,580.0,489.9,0.9628,1
ARDG_AQUA bream620 gr31cm  281025 1618004.csv,1041,1,31.0,31.53,620.0,592.8,0.9694,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,7069,1,31.0,31.76,630.0,634.9,0.9096,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1807,0,0.0,29.19,0.0,597.9,0.88,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,7026,1,30.0,30.02,580.0,580.0,0.977,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,2075,1,33.0,32.98,680.0,680.1,0.9931,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10101,1,21.0,20.7,150.0,140.9,0.9356,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,1023,1,30.0,29.74,556.0,553.6,0.9835,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1362,0,0.0,24.11,0.0,288.6,0.7136,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3878,0,0.0,34.16,0.0,735.7,0.6619,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,1602,1,26.0,25.47,390.0,380.1,0.9752,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,11689,1,31.0,30.98,620.0,594.2,0.9757,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,8136,1,31.0,31.47,630.0,620.9,0.9521,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1771,1,24.0,24.3,280.0,275.6,0.9535,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6529,0,0.0,24.17,0.0,409.5,0.6836,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,7408,1,23.0,23.72,310.0,394.1,0.9445,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,5722,1,32.0,30.56,630.0,573.8,0.9728,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,4819,1,31.0,30.25,630.0,592.6,0.9798,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,384,1,32.0,32.3,630.0,621.1,0.9766,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,2459,1,32.0,31.08,630.0,605.1,0.9751,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,3000,1,30.0,28.24,556.0,528.8,0.9606,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,1832,0,0.0,24.38,0.0,295.1,0.7079,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,3787,1,26.0,26.01,390.0,383.5,0.9717,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,388,0,0.0,32.74,0.0,658.1,0.9755,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,1058,1,26.0,26.69,390.0,390.0,0.9335,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,2583,1,23.0,23.07,310.0,304.4,0.9635,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,9284,1,23.0,22.1,310.0,286.7,0.9776,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,9334,1,33.0,31.66,680.0,650.2,0.9927,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,9439,1,31.0,30.96,630.0,625.5,0.9686,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,381,1,30.0,28.47,580.0,576.1,0.9806,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,7960,1,23.0,22.5,310.0,297.8,0.9609,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,6904,1,33.0,29.95,680.0,664.3,0.985,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,2151,0,0.0,30.79,0.0,563.4,0.8075,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,5435,1,30.0,29.04,580.0,538.9,0.9677,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,213,1,32.0,32.15,630.0,629.3,0.9747,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,5814,1,33.0,32.87,680.0,686.4,0.9893,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6908,0,0.0,29.4,0.0,483.8,0.5041,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6620,0,0.0,30.65,0.0,535.4,0.9632,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1935,0,0.0,28.97,0.0,552.4,0.7891,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,8299,1,30.0,30.82,580.0,618.7,0.9684,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,4266,1,23.0,22.41,310.0,303.4,0.9505,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,3980,1,30.0,30.21,580.0,548.2,0.9803,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3945,0,0.0,35.54,0.0,778.5,0.9556,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,10413,1,31.0,29.48,630.0,588.5,0.9747,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,8758,1,33.0,30.82,680.0,675.2,0.9788,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,11232,1,31.0,31.03,620.0,614.5,0.9797,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,2641,1,24.0,24.42,280.0,269.6,0.9651,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,8801,1,26.0,27.15,390.0,412.6,0.9474,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,2175,1,32.0,30.77,630.0,512.8,0.9667,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,4179,1,30.0,31.31,580.0,591.5,0.9705,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,9450,0,0.0,21.64,0.0,156.1,0.7492,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3882,0,0.0,34.73,0.0,752.0,0.9499,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,6450,0,0.0,30.22,0.0,538.4,0.9472,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,9190,1,30.0,30.02,580.0,582.0,0.9699,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,9079,1,23.0,23.02,310.0,297.0,0.9084,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,8548,1,30.0,30.06,580.0,567.8,0.9788,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,666,1,30.0,31.77,580.0,596.1,0.9886,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,8065,1,33.0,32.19,680.0,664.5,0.9845,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,915,0,0.0,34.47,0.0,710.5,0.6689,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10785,1,21.0,21.22,150.0,145.5,0.9488,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,2715,1,32.0,32.06,630.0,623.2,0.9623,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,5072,1,30.0,30.31,500.0,510.1,0.9466,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,3961,1,31.0,30.38,630.0,601.7,0.9813,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,1362,0,0.0,32.19,0.0,715.4,0.6288,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,5597,0,0.0,31.33,0.0,577.5,0.7931,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,549,0,0.0,29.22,0.0,537.8,0.9329,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3616,0,0.0,30.13,0.0,546.0,0.9048,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,6559,1,23.0,22.37,310.0,300.4,0.97,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6027,0,0.0,28.65,0.0,479.8,0.885,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,10500,1,30.0,30.97,580.0,576.0,0.98,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,4864,1,26.0,26.13,390.0,442.9,0.9679,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,3858,1,23.0,22.84,310.0,349.9,0.9029,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8627,0,0.0,28.05,0.0,494.9,0.9389,1
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,5435,1,27.0,27.14,350.0,344.7,0.9743,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,4503,1,24.0,23.77,280.0,277.7,0.952,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,1523,1,23.0,22.45,310.0,299.1,0.9584,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,3628,1,24.0,23.87,280.0,276.3,0.9756,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1857,0,0.0,28.4,0.0,546.3,0.972,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,9824,1,30.0,29.08,500.0,484.8,0.9743,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,1914,1,33.0,32.06,680.0,710.6,0.9885,1
ARDG_AQUA bream 340gr 27cm  281025 1415002.csv,644,0,0.0,25.31,0.0,406.0,0.7734,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,3616,1,31.0,31.39,630.0,595.0,0.6886,1
