recording_file,sample_mid,is_positive
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,6386,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4056,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,7132,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,2629,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,1339,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,4512,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,2898,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,1464,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,8138,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4338,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,2590,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,463,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,10392,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,8114,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,9007,1
ARDG_AQUA bream 310gr 23 sm  281025 1233003.csv,947,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,9764,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,7164,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,3850,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6865,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,322,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6215,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,4482,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,11714,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,3327,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,7050,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,8636,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,7603,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2289,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,9180,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9757,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4324,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,3640,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,1105,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,6993,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8510,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,3959,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,11261,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,9874,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,2063,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,5373,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,5815,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,10975,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7919,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,1052,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,10102,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,7915,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,8476,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,4345,0
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,4870,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,1837,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,7906,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,4047,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,2154,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,11703,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2506,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7845,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,4253,0
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,4388,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,2757,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,7178,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2071,0
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,2731,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,7501,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5946,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6969,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,238,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,24,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,2047,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5638,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,11729,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,7617,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3888,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,9789,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,10607,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,10079,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6580,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,4057,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6834,0
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,11730,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,492,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,4051,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,12048,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,829,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,9587,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,8090,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,7325,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,5921,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,11243,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,9845,1
ARDG_AQUA bream620 gr31cm  281025 1618004.csv,1041,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,390,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,878,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,3992,0
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,4415,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,8541,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,7069,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,3904,0
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,3583,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,9190,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,3200,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1807,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,3930,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,564,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6578,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,8644,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5009,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,6082,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,3152,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6725,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,7026,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,999,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6579,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,2075,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,3198,0
ARDG_AQUA bream 310gr 23 sm  281025 1233003.csv,1091,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10359,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,4504,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10101,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,1023,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,6013,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,24,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,3532,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1362,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3878,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,1602,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,11689,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,8136,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6805,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1339,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1771,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,8249,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6529,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,4394,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,10703,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,7408,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,5448,0
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,5722,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,6842,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,6023,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,4819,1
