recording_file,peak_sample,window_start,window_end,peak_timestamp,window_start_time,window_end_time,presence_prob,length_cm,weight_g
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,2717,2698,2736,2025-10-28 11:39:08.582,2025-10-28 11:39:08.118,2025-10-28 11:39:09.062,0.9505,27.2,347.6
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,2821,2802,2840,2025-10-28 11:39:11.188,2025-10-28 11:39:10.725,2025-10-28 11:39:11.668,0.9745,26.58,436.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,2987,2968,3006,2025-10-28 11:39:15.348,2025-10-28 11:39:14.868,2025-10-28 11:39:15.829,0.9678,27.7,503.9
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,3127,3108,3146,2025-10-28 11:39:18.850,2025-10-28 11:39:18.372,2025-10-28 11:39:19.331,0.772,28.56,497.9
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,3329,3310,3348,2025-10-28 11:39:23.905,2025-10-28 11:39:23.430,2025-10-28 11:39:24.386,0.8836,27.19,395.7
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,3559,3540,3578,2025-10-28 11:39:29.665,2025-10-28 11:39:29.185,2025-10-28 11:39:30.144,0.5914,23.13,314.3
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,3609,3590,3628,2025-10-28 11:39:30.911,2025-10-28 11:39:30.451,2025-10-28 11:39:31.392,0.7808,24.41,421.3
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,3637,3618,3656,2025-10-28 11:39:31.616,2025-10-28 11:39:31.152,2025-10-28 11:39:32.096,0.8593,24.53,342.2
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4049,4030,4068,2025-10-28 11:39:41.934,2025-10-28 11:39:41.455,2025-10-28 11:39:42.414,0.615,27.71,505.2
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4069,4050,4088,2025-10-28 11:39:42.430,2025-10-28 11:39:41.972,2025-10-28 11:39:42.910,0.7036,27.54,485.0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4149,4130,4168,2025-10-28 11:39:44.429,2025-10-28 11:39:43.961,2025-10-28 11:39:44.909,0.7654,28.7,519.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4201,4182,4220,2025-10-28 11:39:45.740,2025-10-28 11:39:45.262,2025-10-28 11:39:46.222,0.7466,28.67,451.3
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4233,4214,4252,2025-10-28 11:39:46.540,2025-10-28 11:39:46.061,2025-10-28 11:39:47.027,0.5859,25.9,405.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4257,4238,4276,2025-10-28 11:39:47.149,2025-10-28 11:39:46.669,2025-10-28 11:39:47.612,0.8568,25.73,434.9
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4279,4260,4298,2025-10-28 11:39:47.693,2025-10-28 11:39:47.212,2025-10-28 11:39:48.172,0.8858,26.25,452.3
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4299,4280,4318,2025-10-28 11:39:48.189,2025-10-28 11:39:47.708,2025-10-28 11:39:48.667,0.776,26.1,402.6
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4321,4302,4340,2025-10-28 11:39:48.747,2025-10-28 11:39:48.269,2025-10-28 11:39:49.211,0.8917,26.08,398.9
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4355,4336,4374,2025-10-28 11:39:49.593,2025-10-28 11:39:49.117,2025-10-28 11:39:50.076,0.8819,25.99,456.8
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4377,4358,4396,2025-10-28 11:39:50.140,2025-10-28 11:39:49.676,2025-10-28 11:39:50.619,0.9127,27.06,470.9
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4413,4394,4432,2025-10-28 11:39:51.051,2025-10-28 11:39:50.572,2025-10-28 11:39:51.538,0.8967,26.46,441.9
